City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
comodoro rivadavia,0,AR,1564718800,9.0,9.3,-45.87,-67.48,49
san policarpo,100,PH,1564718800,29.19,4.62,12.18,125.51,72
lamu,100,CN,1564718801,19.39,0.98,35.77,102.37,46
kysyl-syr,0,RU,1564718801,20.39,0.31,63.9,122.77,45
bay roberts,5,CA,1564718801,19.44,6.7,47.58,-53.28,93
tshela,77,CD,1564718801,20.29,0.88,-4.99,12.94,88
fallon,1,US,1564718802,24.44,3.1,46.84,-105.12,69
francistown,0,BW,1564718802,11.19,5.24,-21.17,27.5,86
westport,75,US,1564718725,24.44,2.1,41.14,-73.36,64
ahipara,88,NZ,1564718802,15.0,13.31,-35.17,173.16,92
villa bruzual,14,VE,1564718802,19.39,1.03,9.33,-69.12,97
avera,1,US,1564718803,24.44,0.58,33.19,-82.53,83
shinpokh,75,PK,1564718803,30.0,2.1,34.33,71.18,74
roald,3,NO,1564718803,15.0,4.6,62.58,6.12,87
danilovka,50,RU,1564718803,11.39,3.21,50.35,44.12,83
kijang,20,KR,1564718804,34.0,5.1,35.24,129.21,56
kaeo,79,NZ,1564718804,15.0,7.07,-35.1,173.78,92
moussoro,100,TD,1564718804,27.19,4.75,13.64,16.49,63
cabo san lucas,5,MX,1564718652,31.11,4.6,22.89,-109.91,48
santa isabel do rio negro,100,BR,1564718804,22.59,0.71,-0.41,-65.02,93
chokurdakh,2,RU,1564718805,12.89,3.76,70.62,147.9,42
khromtau,21,KZ,1564718805,12.29,11.47,50.26,58.44,70
aklavik,75,CA,1564718805,16.0,4.1,68.22,-135.01,63
high level,75,CA,1564718805,18.0,1.58,58.52,-117.13,82
praya,40,ID,1564718806,29.0,7.2,-8.71,116.27,58
cordoba,27,AR,1564718806,5.89,2.55,-27.78,-67.24,37
hasaki,40,JP,1564718806,37.78,4.1,35.73,140.83,75
novobirilyussy,0,RU,1564718806,24.49,4.3,56.95,90.69,45
kununurra,0,AU,1564718807,27.0,6.7,-15.77,128.74,13
tam ky,40,VN,1564718807,35.0,2.6,15.57,108.48,50
bangassou,0,CF,1564718807,18.89,0.41,4.74,22.82,98
mount isa,0,AU,1564718807,24.0,7.7,-20.73,139.49,29
gwadar,100,PK,1564718807,27.69,2.24,25.12,62.33,84
bubaque,100,GW,1564718808,25.99,4.7,11.28,-15.83,84
teahupoo,40,PF,1564718808,27.0,3.1,-17.83,-149.27,69
tessalit,30,ML,1564718808,35.09,3.43,20.2,1.01,13
faya,40,SA,1564718808,20.0,3.6,18.39,42.45,77
ilebo,0,CD,1564718809,22.09,0.54,-4.33,20.59,54
lensk,53,RU,1564718809,23.49,1.84,60.71,114.91,37
beringovskiy,100,RU,1564718809,8.49,4.47,63.05,179.32,96
edd,100,ER,1564718809,33.39,2.81,13.93,41.69,36
yabrud,0,SY,1564718809,19.0,7.7,33.97,36.66,82
inhambane,3,MZ,1564718810,16.99,1.74,-23.87,35.38,97
hofn,2,IS,1564718810,5.29,1.3,64.25,-15.21,81
bad reichenhall,75,DE,1564718810,17.22,3.1,47.72,12.88,88
maku,0,IR,1564718811,16.59,0.97,39.29,44.45,69
port macquarie,75,AU,1564718811,19.44,4.1,-31.43,152.91,67
vanavara,41,RU,1564718811,25.59,4.27,60.35,102.28,39
greenwood,0,CA,1564718739,28.89,2.24,49.09,-118.68,30
mahebourg,40,MU,1564718811,21.67,2.6,-20.41,57.7,73
krasnoarmeysk,90,RU,1564718812,13.89,3.0,56.12,38.15,93
boden,100,SE,1564718812,13.0,3.6,65.83,21.69,71
conceicao da barra,0,BR,1564718812,18.99,1.08,-18.59,-39.73,96
killybegs,92,IE,1564718812,12.22,0.89,54.63,-8.45,93
jaipur,90,IN,1564718631,29.0,3.1,26.92,75.82,83
tevaitoa,83,PF,1564718813,25.79,7.89,-16.78,-151.5,78
krasnyy yar,4,RU,1564718813,10.89,2.98,50.7,44.73,86
shahreza,0,IR,1564718813,21.19,0.35,32.01,51.87,19
namatanai,42,PG,1564718813,26.79,4.61,-3.66,152.44,82
hurricane,1,US,1564718620,34.44,2.6,37.18,-113.29,36
doka,100,SD,1564718814,23.09,1.21,13.52,35.76,87
port blair,75,IN,1564718814,29.0,4.6,11.67,92.75,79
neftcala,18,AZ,1564718814,26.09,5.26,39.37,49.25,67
tura,100,RU,1564718814,16.59,7.38,64.27,100.22,48
clyde river,90,CA,1564718815,8.0,3.6,70.47,-68.59,87
banda aceh,85,ID,1564718577,28.39,11.08,5.56,95.32,77
kaitangata,100,NZ,1564718815,7.78,8.05,-46.28,169.85,76
rantauprapat,100,ID,1564718637,25.29,1.37,2.1,99.83,62
kumluca,0,TR,1564718815,19.19,2.74,36.37,30.29,63
north bend,90,US,1564718816,21.11,3.1,43.41,-124.22,77
khandbari,100,NP,1564718816,17.19,1.79,27.38,87.21,85
fortuna,75,US,1564718816,18.89,3.6,40.6,-124.16,87
escarcega,28,MX,1564718816,24.09,2.49,18.61,-90.75,94
dukat,0,AL,1564718816,26.11,1.83,40.25,19.57,69
sao jose da coroa grande,86,BR,1564718817,21.49,1.83,-8.9,-35.15,96
saldanha,0,PT,1564718817,17.29,1.29,41.42,-6.55,64
lebu,75,ET,1564718817,12.0,3.1,8.96,38.73,93
lata,61,IN,1564718817,9.49,2.06,30.78,78.62,85
krasnosilka,41,UA,1564718818,13.09,2.15,50.15,27.08,93
thyolo,33,MW,1564718818,16.09,2.44,-16.07,35.15,92
bata,40,GQ,1564718818,24.0,7.45,1.87,9.77,100
yulara,0,AU,1564718818,14.0,5.1,-25.24,130.99,33
kahului,75,US,1564718819,28.33,9.8,20.89,-156.47,69
surt,0,LY,1564718819,25.99,4.63,31.21,16.59,80
tongliao,97,CN,1564718819,35.09,3.99,43.61,122.27,21
dongning,3,CN,1564718819,27.49,3.52,44.06,131.12,59
daru,99,PG,1564718820,24.89,5.4,-9.07,143.21,76
makakilo city,75,US,1564718820,30.0,6.7,21.35,-158.09,100
moju,40,BR,1564718820,25.0,1.0,-1.89,-48.77,88
rio gallegos,0,AR,1564718820,1.0,6.2,-51.62,-69.22,86
hermiston,1,US,1564718524,32.0,2.1,45.84,-119.29,28
leningradskiy,71,RU,1564718821,1.79,5.69,69.38,178.42,92
alice town,92,BS,1564718821,28.99,5.77,25.72,-79.3,72
popondetta,100,PG,1564718821,20.99,1.63,-8.77,148.24,89
alice springs,0,AU,1564718822,14.0,3.6,-23.7,133.88,28
margherita,75,IN,1564718822,28.0,2.26,27.29,95.67,88
deputatskiy,42,RU,1564718822,10.79,7.42,69.3,139.9,55
ulladulla,20,AU,1564718822,16.67,1.5,-35.36,150.48,48
kanigiri,100,IN,1564718822,25.89,6.06,15.41,79.51,74
namibe,95,AO,1564718823,16.89,6.54,-15.19,12.15,88
provideniya,90,RU,1564718823,10.0,2.0,64.42,-173.23,81
evensk,74,RU,1564718823,16.39,2.35,61.92,159.24,48
bolshoye murashkino,100,RU,1564718823,10.49,4.81,55.78,44.78,86
derzhavinsk,0,KZ,1564718824,14.49,11.17,51.1,66.31,55
the valley,40,AI,1564718701,28.0,5.7,18.22,-63.06,78
tual,16,ID,1564718824,24.59,10.0,-5.67,132.75,79
seoul,40,KR,1564718740,34.0,1.0,37.57,126.98,70
jacksonville,75,US,1564718808,27.0,2.1,30.33,-81.66,94
grimshaw,90,CA,1564718825,17.0,3.1,56.19,-117.61,82
kisangani,0,CD,1564718825,21.79,0.73,0.52,25.21,86
kloulklubed,98,PW,1564718825,28.19,11.38,7.04,134.26,78
kavieng,6,PG,1564718825,27.39,5.22,-2.57,150.8,81
kohat,75,PK,1564718825,28.0,2.1,33.6,71.44,74
mahuta,84,TZ,1564718826,21.49,0.67,-10.87,39.42,88
doha,0,QA,1564718570,37.0,2.6,25.29,51.53,23
cockburn town,2,TC,1564718635,29.09,9.87,21.46,-71.14,72
balikpapan,87,ID,1564718826,26.99,2.49,-1.24,116.86,68
muros,75,ES,1564718826,17.78,8.26,42.77,-9.06,93
kibungo,40,RW,1564718827,18.0,2.1,-2.14,30.55,82
preobrazheniye,54,RU,1564718827,30.29,3.34,42.9,133.91,42
codrington,13,AU,1564718827,19.0,2.6,-28.95,153.24,63
hyeres,0,FR,1564718827,22.0,0.5,43.12,6.14,83
wuda,23,CN,1564718827,29.79,6.28,39.5,106.72,31
vao,100,EE,1564718828,12.79,2.64,59.1,26.19,67
floro,40,NO,1564718609,15.0,2.1,61.6,5.03,93
chegdomyn,99,RU,1564718828,18.29,2.66,51.13,133.04,82
kaniama,30,CD,1564718828,16.89,1.84,-7.57,24.18,29
mazamitla,96,MX,1564718829,17.89,2.15,19.92,-103.02,79
mana,100,NG,1564718829,24.99,5.05,13.03,5.27,68
port hardy,90,CA,1564718829,14.0,3.6,50.7,-127.42,100
